Ind,Pop,B114_1,B114_2,B159__1,B159_2,WGA_1,WGA_2,A5_1,A5_2,B157_1,B157_2,B212_1,B212_2,B121_1,B121_2,B147_1,B147_2,B249_1,B249_2,B262_1,B262_2,B264_1,B264_2
C3984,31,248,258,126,130,165,177,205,209,158,164,240,243,177,181,335,341,181,181,330,340,221,239
C3985,31,260,280,104,124,165,177,203,219,161,164,205,205,177,183,327,335,189,189,317,317,235,239
C3986,31,248,276,124,128,165,165,203,205,161,167,219,240,177,181,327,335,181,185,326,326,239,239
C4231,31,276,276,116,122,159,167,205,211,157,157,217,217,177,183,333,335,183,185,315,340,231,239
C4344,31,248,248,120,128,165,175,203,213,157,166,212,212,183,187,327,327,187,189,317,317,235,239
C4347,31,276,276,122,128,159,175,205,219,166,166,0,0,177,181,0,0,187,189,326,326,227,237
C4352,31,248,248,124,128,155,165,207,211,157,157,0,0,181,183,0,0,181,183,326,330,239,239
C4355,31,248,254,120,128,163,163,205,207,160,160,217,217,177,177,0,0,185,191,317,326,221,237
C4358,31,248,258,128,128,165,165,0,0,157,164,203,203,177,187,0,0,187,189,317,326,229,237
C4419,31,248,254,104,128,165,177,203,205,157,160,233,233,177,183,0,0,183,197,315,326,237,237
C4428,31,248,254,128,136,165,177,0,0,157,164,205,213,177,177,333,339,187,191,340,340,239,239
C4436,31,248,248,122,128,155,163,219,219,157,157,239,239,177,177,333,333,181,189,317,326,227,235
C4450,31,254,258,104,128,163,173,205,207,157,166,205,205,177,183,333,337,169,181,317,325,235,239
C4531,31,248,260,104,128,155,161,203,203,158,161,205,205,177,183,337,343,179,187,317,344,237,237
C1615,31,248,250,130,130,163,171,207,207,157,162,217,239,177,187,333,333,181,185,318,328,235,235
C1616,31,248,270,115,128,161,161,203,211,160,160,235,239,171,177,333,333,185,187,318,318,235,237
C1617,31,248,248,128,130,159,177,207,219,166,166,245,259,177,183,0,0,183,187,318,336,221,237
C1618,31,248,248,124,132,163,175,205,217,157,162,215,219,177,181,333,339,185,189,326,330,235,237
C1619,31,248,248,130,132,163,165,203,207,160,162,219,233,183,193,333,339,189,191,318,332,221,239
C1620,31,248,250,128,132,159,163,203,217,157,157,233,235,0,0,339,339,185,189,326,348,221,237
C1621,31,250,254,115,130,165,171,211,211,157,166,241,255,177,177,327,333,183,183,318,320,239,241
C1623,31,248,248,104,128,163,165,199,219,157,157,0,0,177,187,327,331,179,191,330,338,221,227
C1625,31,248,250,128,132,159,171,207,207,157,160,219,239,183,183,327,333,189,189,332,336,221,235
C1628,31,248,270,120,122,161,167,203,211,160,166,233,243,177,177,331,343,185,191,318,318,237,239
C1637,31,248,250,128,130,159,161,211,211,160,166,243,259,177,183,327,333,181,187,318,336,239,239
C1650,31,254,290,122,128,159,177,203,211,160,168,239,241,171,185,341,341,169,181,318,334,235,239
C3202,31,264,276,124,130,163,163,207,207,156,166,213,239,170,177,333,341,189,189,326,330,221,227
C3248,31,248,276,130,174,175,177,203,207,160,166,221,225,170,179,333,333,183,185,315,317,221,235
C3304,31,0,0,104,128,155,0,209,213,160,166,239,245,183,183,339,339,181,189,0,340,221,221
C3326,31,248,252,120,120,163,175,201,205,156,162,215,217,177,177,333,333,169,191,326,340,221,221
C3333,31,276,276,120,128,161,175,203,207,166,166,211,213,177,183,333,339,169,191,340,340,227,235
C3339,31,0,0,120,128,0,0,201,219,160,166,219,245,177,193,333,339,169,191,326,336,239,239
C3346,31,248,276,120,122,155,165,203,207,156,156,213,239,179,193,339,341,181,191,326,334,221,239
C3349,31,248,276,120,124,155,177,203,207,156,166,213,243,185,187,333,339,191,191,317,317,235,239
C3367,31,282,282,104,122,163,175,0,0,0,0,219,229,170,181,327,327,189,191,317,326,227,239
C3374,31,248,248,122,122,165,177,201,205,160,166,241,241,183,193,333,341,191,191,317,336,221,237
C3405,31,282,282,104,122,165,177,205,209,160,160,213,227,183,185,327,333,169,183,317,326,235,235
C1692,151,252,254,104,140,165,167,203,207,160,168,233,233,171,179,335,341,183,189,318,318,221,235
C1693,151,254,256,104,130,171,179,209,209,160,166,225,235,177,177,333,333,191,191,316,342,221,235
C1694,151,248,290,104,130,165,169,207,209,160,168,225,225,179,183,333,333,183,191,316,334,221,221
C1698,151,248,258,124,128,163,183,199,211,160,166,225,243,171,179,333,333,183,191,318,330,229,235
C1699,151,256,282,128,128,165,175,209,213,157,157,219,225,171,177,331,337,169,183,340,356,227,227
C1700,151,248,256,128,130,159,171,203,207,160,162,215,257,177,177,331,333,183,187,318,330,221,235
C1701,151,252,270,122,124,161,171,205,207,160,166,215,215,171,177,327,337,181,193,318,332,221,237
C1702,151,252,260,104,128,161,175,199,209,157,160,235,243,171,189,333,341,183,193,330,338,221,229
C1703,151,248,256,124,128,163,163,205,207,164,166,217,219,177,185,335,337,183,193,320,344,235,235
C1704,151,256,286,124,130,163,163,203,205,157,160,217,225,169,179,333,335,183,191,318,318,235,237
C1705,151,248,260,104,104,155,167,209,211,157,168,205,219,177,185,331,335,187,191,316,340,235,235
C1706,151,248,254,122,124,165,171,207,207,160,166,217,233,171,191,327,337,187,187,316,332,221,227
C1707,151,250,252,122,128,165,177,199,207,164,169,205,259,177,177,333,339,183,183,318,326,221,235
C1708,151,254,258,120,132,165,169,209,211,157,160,223,233,171,185,333,333,181,191,318,348,229,243
C1709,151,248,260,104,124,169,175,203,209,164,166,233,233,179,189,335,341,187,191,318,330,235,235
C1710,151,252,258,124,132,159,161,203,207,166,166,229,233,171,189,333,339,181,185,318,330,229,235
C1712,151,248,260,104,134,161,179,205,207,157,157,219,229,179,189,331,339,169,169,330,330,235,235
C1714,151,256,260,128,132,163,171,205,209,160,164,215,219,183,189,335,337,169,183,318,330,221,221
C1715,151,248,252,128,130,155,167,213,217,160,166,205,213,171,185,333,337,169,189,318,328,227,235
C1717,151,252,256,128,130,155,161,203,203,160,166,217,253,183,185,333,333,191,191,328,328,221,235
C1718,151,0,0,0,0,155,167,203,217,160,166,221,253,173,187,333,333,169,191,320,336,235,237
C1719,151,248,276,104,130,159,169,203,209,157,166,221,239,177,179,331,333,173,183,330,334,221,235
C1656,170,254,268,124,124,165,171,207,207,157,162,205,213,177,177,337,337,169,183,338,338,229,235
C1657,170,268,276,104,104,163,175,0,0,166,166,0,0,171,189,335,337,169,183,330,330,227,235
C1658,170,266,268,104,124,173,173,199,207,162,166,233,243,171,177,333,333,183,183,318,330,235,235
C1659,170,252,262,104,124,161,175,203,215,166,166,205,213,177,179,335,339,169,169,318,330,235,241
C1661,170,248,266,104,128,165,177,203,207,160,164,0,0,177,189,333,337,169,169,328,338,229,251
C1665,170,274,276,120,122,165,173,207,211,157,160,229,243,171,179,333,337,169,169,330,340,221,235
C1667,170,260,260,124,130,171,173,0,0,160,166,215,227,179,189,331,337,187,191,316,330,233,235
C1682,170,248,254,128,130,155,165,207,211,157,166,213,231,189,191,333,335,183,183,316,338,223,227
C1685,170,274,276,128,130,161,165,203,217,160,162,213,213,173,191,333,337,169,183,318,338,227,229
C4543,568,248,254,122,122,167,179,207,207,167,167,217,240,177,183,335,341,183,191,315,330,221,239
C4545,568,248,280,0,0,163,179,217,217,167,167,213,219,177,189,329,335,179,181,338,340,239,239
C4551,568,248,248,0,0,161,165,211,217,160,167,215,229,179,179,341,341,183,189,315,317,237,237
C4491,568,256,256,104,120,163,163,203,211,162,166,205,240,177,179,337,341,169,185,340,344,221,235
C4494,568,276,276,104,120,163,179,205,211,166,166,213,213,177,177,335,341,181,183,340,340,235,239
C4495,568,268,280,122,130,163,171,211,217,166,166,213,213,183,187,341,341,175,191,317,326,223,239
C4497,568,258,276,124,128,177,177,217,217,160,166,0,0,183,187,341,343,183,191,318,342,221,235
C4501,568,248,254,136,136,163,179,205,205,160,166,243,243,177,179,335,339,181,181,315,340,221,229
C4502,568,248,264,104,136,163,165,203,203,157,160,219,219,177,183,333,333,181,185,315,317,221,237
C4503,568,248,272,122,132,179,179,209,209,167,167,221,240,177,189,337,341,169,183,317,334,235,239
C4504,568,254,276,124,126,163,165,209,209,160,166,217,217,175,175,333,343,169,191,330,340,223,239
C4470,568,264,282,128,134,177,179,205,211,160,166,221,225,171,179,333,335,169,179,317,317,221,235
C4471,568,258,276,122,136,179,179,209,209,160,160,217,217,171,177,335,341,181,185,317,318,221,235
C4473,568,276,276,104,130,163,177,209,217,167,167,213,213,177,183,337,341,187,191,317,318,221,221
C4474,568,248,248,104,122,163,179,211,211,158,161,0,0,171,179,335,343,169,183,317,338,223,237
C4476,568,248,248,124,124,175,179,203,211,160,160,221,221,179,179,335,343,183,185,315,315,221,239
C4478,568,276,276,104,104,163,179,209,217,160,169,219,219,177,179,335,343,187,191,315,318,221,239
C4479,568,278,278,124,128,155,175,211,211,160,160,221,221,177,177,341,341,169,187,317,340,221,239
C4482,568,276,276,130,136,165,171,207,207,160,160,236,236,171,177,343,345,181,183,317,340,227,239
C4483,568,258,264,104,122,179,179,209,211,157,161,233,233,177,177,331,341,169,177,317,330,221,227
C4484,568,248,276,104,104,167,179,203,203,160,166,233,233,177,189,335,341,169,191,317,334,221,239
C4485,568,276,282,104,122,165,179,207,207,166,166,225,225,171,179,335,335,185,187,317,317,221,235
C4489,568,248,248,130,136,177,179,205,209,160,166,211,217,177,183,327,343,181,191,336,344,221,221
C4505,568,248,248,122,124,163,179,201,205,157,160,225,240,181,187,335,339,169,183,315,318,235,239
C4507,568,248,258,122,134,155,167,205,205,158,167,221,221,177,183,335,335,191,191,326,340,237,237
C4535,568,248,258,130,130,167,171,203,203,164,164,219,233,177,185,335,341,181,183,338,338,235,239
C4542,568,246,248,104,104,167,171,205,205,158,164,229,233,181,185,337,343,183,191,326,338,235,239
