"","Ind","Pop","Longitude","Latitude","B114_1","B114_2","B159__1","B159_2","WGA_1","WGA_2","A5_1","A5_2","B157_1","B157_2","B212_1","B212_2","B121_1","B121_2","B147_1","B147_2","B249_1","B249_2","B262_1","B262_2","B264_1","B264_2"
"1","C3984","31",-66.008133,46.5847,248,258,126,130,165,177,205,209,158,164,240,243,177,181,335,341,181,181,330,340,221,239
"2","C3985","31",-66.169433,46.54515,260,280,104,124,165,177,203,219,161,164,205,205,177,183,327,335,189,189,317,317,235,239
"3","C3986","31",-66.21698,46.52758,248,276,124,128,165,165,203,205,161,167,219,240,177,181,327,335,181,185,326,326,239,239
"4","C4231","31",-66.00969,46.58398,276,276,116,122,159,167,205,211,157,157,217,217,177,183,333,335,183,185,315,340,231,239
"5","C4344","31",-66.21698,46.52758,248,248,120,128,165,175,203,213,157,166,212,212,183,187,327,327,187,189,317,317,235,239
"6","C4347","31",-66.21658,46.52859,276,276,122,128,159,175,205,219,166,166,0,0,177,181,0,0,187,189,326,326,227,237
"8","C4352","31",-66.00819,46.58468,248,248,124,128,155,165,207,211,157,157,0,0,181,183,0,0,181,183,326,330,239,239
"11","C4355","31",-66.02469,46.5824,248,254,120,128,163,163,205,207,160,160,217,217,177,177,0,0,185,191,317,326,221,237
"14","C4358","31",-66.17027,46.54533,248,258,128,128,165,165,0,0,157,164,203,203,177,187,0,0,187,189,317,326,229,237
"17","C4419","31",-65.89082,46.60552,248,254,104,128,165,177,203,205,157,160,233,233,177,183,0,0,183,197,315,326,237,237
"26","C4428","31",-65.89034,46.60792,248,254,128,136,165,177,0,0,157,164,205,213,177,177,333,339,187,191,340,340,239,239
"34","C4436","31",-66.16756,46.54517,248,248,122,128,155,163,219,219,157,157,239,239,177,177,333,333,181,189,317,326,227,235
"47","C4450","31",-66.16978,46.54542,254,258,104,128,163,173,205,207,157,166,205,205,177,183,333,337,169,181,317,325,235,239
"49","C4531","31",-65.88141,46.61545,248,260,104,128,155,161,203,203,158,161,205,205,177,183,337,343,179,187,317,344,237,237
"50","C1615","31",-66.0242642,46.5798023,248,250,130,130,163,171,207,207,157,162,217,239,177,187,333,333,181,185,318,328,235,235
"51","C1616","31",-66.0255204,46.5806991,248,270,115,128,161,161,203,211,160,160,235,239,171,177,333,333,185,187,318,318,235,237
"52","C1617","31",-66.0260272,46.5797852,248,248,128,130,159,177,207,219,166,166,245,259,177,183,0,0,183,187,318,336,221,237
"53","C1618","31",-66.0260447,46.5801817,248,248,124,132,163,175,205,217,157,162,215,219,177,181,333,339,185,189,326,330,235,237
"54","C1619","31",-66.0257488,46.580579,248,248,130,132,163,165,203,207,160,162,219,233,183,193,333,339,189,191,318,332,221,239
"55","C1620","31",-66.0252398,46.5808178,248,250,128,132,159,163,203,217,157,157,233,235,0,0,339,339,185,189,326,348,221,237
"56","C1621","31",-66.0239152,46.5811703,250,254,115,130,165,171,211,211,157,166,241,255,177,177,327,333,183,183,318,320,239,241
"58","C1623","31",-66.0232172,46.5815211,248,248,104,128,163,165,199,219,157,157,0,0,177,187,327,331,179,191,330,338,221,227
"60","C1625","31",-66.0246294,46.5809999,248,250,128,132,159,171,207,207,157,160,219,239,183,183,327,333,189,189,332,336,221,235
"63","C1628","31",-66.0260946,46.581416,248,270,120,122,161,167,203,211,160,166,233,243,177,177,331,343,185,191,318,318,237,239
"69","C1637","31",-66.0266531,46.5828975,248,250,128,130,159,161,211,211,160,166,243,259,177,183,327,333,181,187,318,336,239,239
"82","C1650","31",-66.0268213,46.5817319,254,290,122,128,159,177,203,211,160,168,239,241,171,185,341,341,169,181,318,334,235,239
"87","C3202","31",-66.22345,46.52545,264,276,124,130,163,163,207,207,156,166,213,239,170,177,333,341,189,189,326,330,221,227
"88","C3248","31",-66.22122,46.52693,248,276,130,174,175,177,203,207,160,166,221,225,170,179,333,333,183,185,315,317,221,235
"90","C3304","31",-66.22307,46.52577,0,0,104,128,155,0,209,213,160,166,239,245,183,183,339,339,181,189,0,340,221,221
"91","C3326","31",-66.22222,46.52655,248,252,120,120,163,175,201,205,156,162,215,217,177,177,333,333,169,191,326,340,221,221
"93","C3333","31",-66.21975,46.52648,276,276,120,128,161,175,203,207,166,166,211,213,177,183,333,339,169,191,340,340,227,235
"94","C3339","31",-66.221,46.52593,0,0,120,128,0,0,201,219,160,166,219,245,177,193,333,339,169,191,326,336,239,239
"95","C3346","31",-66.21865,46.52722,248,276,120,122,155,165,203,207,156,156,213,239,179,193,339,341,181,191,326,334,221,239
"96","C3349","31",-66.221,46.52723,248,276,120,124,155,177,203,207,156,166,213,243,185,187,333,339,191,191,317,317,235,239
"98","C3367","31",-66.21833,46.52697,282,282,104,122,163,175,0,0,0,0,219,229,170,181,327,327,189,191,317,326,227,239
"100","C3374","31",-66.22652,46.5248,248,248,122,122,165,177,201,205,160,166,241,241,183,193,333,341,191,191,317,336,221,237
"103","C3405","31",-66.21907,46.52663,282,282,104,122,165,177,205,209,160,160,213,227,183,185,327,333,169,183,317,326,235,235
"105","C1692","151",-78.5228007,44.6061659,252,254,104,140,165,167,203,207,160,168,233,233,171,179,335,341,183,189,318,318,221,235
"106","C1693","151",-78.5243996,44.6059035,254,256,104,130,171,179,209,209,160,166,225,235,177,177,333,333,191,191,316,342,221,235
"107","C1694","151",-78.5243943,44.6060295,248,290,104,130,165,169,207,209,160,168,225,225,179,183,333,333,183,191,316,334,221,221
"109","C1698","151",-78.5262107,44.6050966,248,258,124,128,163,183,199,211,160,166,225,243,171,179,333,333,183,191,318,330,229,235
"110","C1699","151",-78.5307984,44.6065643,256,282,128,128,165,175,209,213,157,157,219,225,171,177,331,337,169,183,340,356,227,227
"111","C1700","151",-78.5329318,44.6052871,248,256,128,130,159,171,203,207,160,162,215,257,177,177,331,333,183,187,318,330,221,235
"112","C1701","151",-78.5257843,44.603863,252,270,122,124,161,171,205,207,160,166,215,215,171,177,327,337,181,193,318,332,221,237
"113","C1702","151",-78.5248344,44.6030862,252,260,104,128,161,175,199,209,157,160,235,243,171,189,333,341,183,193,330,338,221,229
"114","C1703","151",-78.5243469,44.6021034,248,256,124,128,163,163,205,207,164,166,217,219,177,185,335,337,183,193,320,344,235,235
"115","C1704","151",-78.5243675,44.6019148,256,286,124,130,163,163,203,205,157,160,217,225,169,179,333,335,183,191,318,318,235,237
"116","C1705","151",-78.526917,44.6033024,248,260,104,104,155,167,209,211,157,168,205,219,177,185,331,335,187,191,316,340,235,235
"117","C1706","151",-78.5268937,44.603851,248,254,122,124,165,171,207,207,160,166,217,233,171,191,327,337,187,187,316,332,221,227
"118","C1707","151",-78.5269692,44.6041498,250,252,122,128,165,177,199,207,164,169,205,259,177,177,333,339,183,183,318,326,221,235
"119","C1708","151",-78.5249716,44.6048987,254,258,120,132,165,169,209,211,157,160,223,233,171,185,333,333,181,191,318,348,229,243
"120","C1709","151",-78.5249304,44.6046817,248,260,104,124,169,175,203,209,164,166,233,233,179,189,335,341,187,191,318,330,235,235
"121","C1710","151",-78.5240128,44.605517,252,258,124,132,159,161,203,207,166,166,229,233,171,189,333,339,181,185,318,330,229,235
"122","C1712","151",-78.5229961,44.6048288,248,260,104,134,161,179,205,207,157,157,219,229,179,189,331,339,169,169,330,330,235,235
"123","C1714","151",-78.5218979,44.6039857,256,260,128,132,163,171,205,209,160,164,215,219,183,189,335,337,169,183,318,330,221,221
"124","C1715","151",-78.5223125,44.604904,248,252,128,130,155,167,213,217,160,166,205,213,171,185,333,337,169,189,318,328,227,235
"125","C1717","151",-78.5221118,44.6048816,252,256,128,130,155,161,203,203,160,166,217,253,183,185,333,333,191,191,328,328,221,235
"126","C1718","151",-78.5223635,44.6054813,0,0,0,0,155,167,203,217,160,166,221,253,173,187,333,333,169,191,320,336,235,237
"127","C1719","151",-78.5220366,44.6054652,248,276,104,130,159,169,203,209,157,166,221,239,177,179,331,333,173,183,330,334,221,235
"129","C1656","170",-77.0865895,45.3966815,254,268,124,124,165,171,207,207,157,162,205,213,177,177,337,337,169,183,338,338,229,235
"130","C1657","170",-77.0863352,45.3967132,268,276,104,104,163,175,0,0,166,166,0,0,171,189,335,337,169,183,330,330,227,235
"131","C1658","170",-77.0868288,45.3965871,266,268,104,124,173,173,199,207,162,166,233,243,171,177,333,333,183,183,318,330,235,235
"132","C1659","170",-77.087019,45.3965476,252,262,104,124,161,175,203,215,166,166,205,213,177,179,335,339,169,169,318,330,235,241
"133","C1661","170",-77.0878786,45.3962979,248,266,104,128,165,177,203,207,160,164,0,0,177,189,333,337,169,169,328,338,229,251
"137","C1665","170",-77.0851977,45.3932324,274,276,120,122,165,173,207,211,157,160,229,243,171,179,333,337,169,169,330,340,221,235
"138","C1667","170",-77.0859649,45.3935964,260,260,124,130,171,173,0,0,160,166,215,227,179,189,331,337,187,191,316,330,233,235
"144","C1682","170",-77.0834016,45.3926801,248,254,128,130,155,165,207,211,157,166,213,231,189,191,333,335,183,183,316,338,223,227
"146","C1685","170",-77.0667948,45.3920188,274,276,128,130,161,165,203,217,160,162,213,213,173,191,333,337,169,183,318,338,227,229
"149","C4543","568",-67.76541,46.80829,248,254,122,122,167,179,207,207,167,167,217,240,177,183,335,341,183,191,315,330,221,239
"151","C4545","568",-67.71828,46.81424,248,280,0,0,163,179,217,217,167,167,213,219,177,189,329,335,179,181,338,340,239,239
"156","C4551","568",-67.71926,46.8078,248,248,0,0,161,165,211,217,160,167,215,229,179,179,341,341,183,189,315,317,237,237
"159","C4491","568",-67.42652,46.85066,256,256,104,120,163,163,203,211,162,166,205,240,177,179,337,341,169,185,340,344,221,235
"162","C4494","568",-67.48274,46.79346,276,276,104,120,163,179,205,211,166,166,213,213,177,177,335,341,181,183,340,340,235,239
"163","C4495","568",-67.48192,46.79289,268,280,122,130,163,171,211,217,166,166,213,213,183,187,341,341,175,191,317,326,223,239
"165","C4497","568",-67.48536,46.79283,258,276,124,128,177,177,217,217,160,166,0,0,183,187,341,343,183,191,318,342,221,235
"169","C4501","568",-67.43448,46.8676,248,254,136,136,163,179,205,205,160,166,243,243,177,179,335,339,181,181,315,340,221,229
"170","C4502","568",-67.43421,46.86742,248,264,104,136,163,165,203,203,157,160,219,219,177,183,333,333,181,185,315,317,221,237
"171","C4503","568",-67.46809,46.81286,248,272,122,132,179,179,209,209,167,167,221,240,177,189,337,341,169,183,317,334,235,239
"172","C4504","568",-67.51776,46.7825,254,276,124,126,163,165,209,209,160,166,217,217,175,175,333,343,169,191,330,340,223,239
"175","C4470","568",-67.74347,46.5911,264,282,128,134,177,179,205,211,160,166,221,225,171,179,333,335,169,179,317,317,221,235
"176","C4471","568",-67.74315,46.5899,258,276,122,136,179,179,209,209,160,160,217,217,171,177,335,341,181,185,317,318,221,235
"178","C4473","568",-67.74411,46.58886,276,276,104,130,163,177,209,217,167,167,213,213,177,183,337,341,187,191,317,318,221,221
"179","C4474","568",-67.74245,46.58837,248,248,104,122,163,179,211,211,158,161,0,0,171,179,335,343,169,183,317,338,223,237
"181","C4476","568",-67.74364,46.58609,248,248,124,124,175,179,203,211,160,160,221,221,179,179,335,343,183,185,315,315,221,239
"183","C4478","568",-67.74606,46.58523,276,276,104,104,163,179,209,217,160,169,219,219,177,179,335,343,187,191,315,318,221,239
"184","C4479","568",-67.74587,46.58565,278,278,124,128,155,175,211,211,160,160,221,221,177,177,341,341,169,187,317,340,221,239
"187","C4482","568",-67.74605,46.58723,276,276,130,136,165,171,207,207,160,160,236,236,171,177,343,345,181,183,317,340,227,239
"188","C4483","568",-67.74406,46.58685,258,264,104,122,179,179,209,211,157,161,233,233,177,177,331,341,169,177,317,330,221,227
"189","C4484","568",-67.74434,46.58718,248,276,104,104,167,179,203,203,160,166,233,233,177,189,335,341,169,191,317,334,221,239
"190","C4485","568",-67.74468,46.58895,276,282,104,122,165,179,207,207,166,166,225,225,171,179,335,335,185,187,317,317,221,235
"193","C4489","568",-67.74723,46.5918,248,248,130,136,177,179,205,209,160,166,211,217,177,183,327,343,181,191,336,344,221,221
"194","C4505","568",-67.69682,46.76226,248,248,122,124,163,179,201,205,157,160,225,240,181,187,335,339,169,183,315,318,235,239
"196","C4507","568",-67.69671,46.76189,248,258,122,134,155,167,205,205,158,167,221,221,177,183,335,335,191,191,326,340,237,237
"198","C4535","568",-67.72974,46.79257,248,258,130,130,167,171,203,203,164,164,219,233,177,185,335,341,181,183,338,338,235,239
"205","C4542","568",-67.72968,46.779342,246,248,104,104,167,171,205,205,158,164,229,233,181,185,337,343,183,191,326,338,235,239
"216","C4562","568",-67.71942,46.67374,248,276,0,0,179,179,199,203,157,164,221,221,177,183,327,333,169,181,317,340,0,0
"219","C4582","568",-67.7437,46.54558,248,254,0,0,165,177,203,211,161,167,0,0,171,181,333,333,181,191,317,338,227,237
"236","C4693","568",-67.70884,46.7767,264,282,122,124,155,159,203,211,167,167,217,217,177,177,333,341,187,189,325,336,237,237
"237","C4696","568",-67.69806,46.76454,248,280,104,128,155,179,201,205,158,164,217,217,177,193,333,337,187,189,330,340,235,237
"239","C3179","568",-67.74717,46.5919,248,280,104,130,163,163,207,207,166,166,211,231,179,183,339,339,191,191,317,317,239,239
"240","C3181","568",-67.74417,46.58872,276,278,122,136,173,177,207,209,160,166,201,241,177,177,339,341,169,169,317,318,221,221
"241","C3188","568",-67.74478,46.5877,248,254,120,130,163,177,205,207,160,166,225,225,177,183,335,341,169,191,317,330,221,235
"242","C3190","568",-67.74537,46.58923,248,254,104,136,161,167,203,207,156,156,213,245,177,183,333,341,187,187,317,344,227,239
"244","C3193","568",-67.74605,46.58963,276,282,104,134,175,177,207,211,160,160,225,233,170,179,333,339,185,185,317,340,227,235
"245","C3201","568",-67.74443,46.58727,254,258,104,128,0,0,203,203,166,166,211,233,177,183,333,333,169,181,336,340,235,235
"246","C3232","568",-67.7447,46.58927,254,276,104,158,163,163,203,217,160,166,215,217,177,181,335,341,169,185,317,317,221,239
"248","C3249","568",-67.74527,46.59018,258,276,124,130,165,177,207,207,160,166,217,217,177,177,333,339,187,191,318,318,235,235
"249","C3250","568",-67.74435,46.58935,248,282,124,136,177,177,205,211,160,160,217,221,181,181,333,339,169,191,318,340,235,239
"250","C3251","568",-67.74725,46.59118,264,276,104,124,163,177,203,217,160,160,221,253,177,183,339,339,169,169,317,340,221,221
"252","C3253","568",-67.74478,46.58915,248,258,128,130,163,177,201,211,160,160,225,233,177,183,333,335,183,187,317,317,221,239
"253","C3255","568",-67.74375,46.59005,264,276,130,136,165,177,203,211,160,160,201,241,177,185,339,341,169,185,317,317,239,239
"254","C3277","568",-67.74417,46.58888,248,282,120,128,171,175,207,211,160,166,221,233,177,179,333,339,187,191,317,317,221,237
"255","C3315","568",-67.74428,46.59058,248,256,104,136,165,165,211,211,160,166,233,253,183,189,341,343,169,191,317,340,235,237
"258","C3360","568",-67.74458,46.59077,248,248,136,174,169,177,203,203,160,160,217,225,177,179,333,339,181,185,315,340,221,227
"261","C3288","568",-67.74478,46.5877,276,282,124,128,163,179,203,207,160,164,213,227,170,177,333,333,183,189,317,326,227,227
"262","C3293","568",-67.74605,46.58963,264,282,104,122,165,165,203,209,164,166,213,213,179,187,327,333,169,169,317,340,221,227
"263","C4018","1014",-65.557611,45.707194,276,276,122,128,163,163,203,205,161,169,213,213,170,185,335,343,187,187,317,317,239,239
"264","C3980","1014",-66.169338,45.438321,272,280,104,128,159,179,203,203,157,161,197,217,177,177,335,341,187,191,340,340,221,235
"265","C3987","1014",-66.173779,45.441761,260,272,104,128,163,177,205,217,167,167,205,240,177,183,335,341,179,189,317,334,221,235
"266","C3988","1014",-66.122472,45.633334,248,260,124,130,175,175,203,205,161,167,221,236,177,183,341,341,181,189,317,317,221,221
"267","C3989","1014",-66.122858,45.633238,280,280,122,122,165,171,197,203,160,160,213,213,183,183,333,341,177,187,317,317,210,210
"269","C4011","1014",-65.39142,45.773113,248,254,104,130,177,177,203,203,161,167,240,240,170,177,339,345,181,181,317,340,221,221
"270","C4017","1014",-65.35059,45.95345,248,258,104,124,163,179,203,203,164,167,217,240,177,177,341,343,169,187,317,317,239,239
"271","C4296","1014",-65.8775,45.56496,248,248,122,136,163,173,203,211,157,164,221,221,170,177,333,333,183,187,315,320,221,235
"275","C4301","1014",-65.86193,45.64833,254,254,104,104,167,167,209,209,166,166,0,0,177,177,333,339,169,183,325,325,221,223
"277","C4303","1014",-65.81413,45.67896,276,276,122,130,165,165,199,207,160,166,215,215,177,177,333,333,187,189,325,325,221,227
"281","C4453","1014",-65.47487,45.71189,254,254,104,130,165,175,203,203,157,166,217,219,177,187,333,339,183,187,330,330,221,239
"283","C4455","1014",-65.47464,45.7115,0,0,122,124,165,165,203,203,166,168,193,213,170,187,327,333,183,187,340,340,221,227
"285","C4457","1014",-65.4754,45.71318,0,0,104,104,163,171,207,211,160,166,235,239,177,183,327,327,169,183,317,325,221,227
"287","C4459","1014",-65.50626,45.72485,0,0,122,130,165,177,203,203,160,162,213,225,183,185,333,341,169,169,317,340,235,239
"291","C4464","1014",-65.47634,45.71558,0,0,120,122,0,0,203,203,157,160,239,239,179,181,333,333,183,189,317,340,221,239
"295","C4468","1014",-65.47665,45.71779,248,264,128,130,159,165,203,211,166,166,0,0,177,177,333,333,185,187,340,340,221,221
"297","C4783","1014",-65.3239,46.01134,276,280,124,130,155,165,194,203,167,167,213,213,177,181,341,343,169,187,317,317,227,243
"298","C4786","1014",-65.32406,46.01204,248,280,104,130,167,179,203,207,159,167,240,240,177,183,333,333,185,187,326,334,235,239
"299","C4789","1014",-65.32376,46.01226,278,278,104,124,167,177,203,203,157,157,0,0,177,181,341,343,169,191,336,342,221,239
"300","C4891","1014",-65.31928,46.01513,274,276,128,130,177,181,203,203,158,167,213,213,177,181,339,339,189,191,325,330,223,235
"301","C4892","1014",-65.31964,46.01468,248,280,104,122,167,167,203,207,158,167,0,0,179,183,343,343,189,191,325,330,221,223
