Ind,Pop,B114_1,B114_2,B159__1,B159_2,WGA_1,WGA_2,A5_1,A5_2,B121_1,B121_2,B147_1,B147_2,B249_1,B249_2,B264_1,B264_2
C3984,31,248,258,126,130,165,177,205,209,177,181,335,341,181,181,221,239
C3985,31,260,280,104,124,165,177,203,219,177,183,327,335,189,189,235,239
C4231,31,276,276,116,122,159,167,205,211,177,183,333,335,183,185,231,239
C4344,31,248,248,120,128,165,175,203,213,183,187,327,327,187,189,235,239
C4347,31,276,276,122,128,159,175,205,219,177,181,0,0,187,189,227,237
C4355,31,248,254,120,128,163,163,205,207,177,177,0,0,185,191,221,237
C4429,31,248,254,128,132,163,165,203,207,177,183,333,339,185,191,237,239
C4432,31,254,254,132,136,159,163,203,203,177,187,333,333,183,191,239,239
C4436,31,248,248,122,128,155,163,219,219,177,177,333,333,181,189,227,235
C4450,31,254,258,104,128,163,173,205,207,177,183,333,337,169,181,235,239
C4531,31,248,260,104,128,155,161,203,203,177,183,337,343,179,187,237,237
C1615,31,248,250,130,130,163,171,207,207,177,187,333,333,181,185,235,235
C1616,31,248,270,115,128,161,161,203,211,171,177,333,333,185,187,235,237
C1618,31,248,248,124,132,163,175,205,217,177,181,333,339,185,189,235,237
C1619,31,248,248,130,132,163,165,203,207,183,193,333,339,189,191,221,239
C1620,31,248,250,128,132,159,163,203,217,0,0,339,339,185,189,221,237
C1621,31,250,254,115,130,165,171,211,211,177,177,327,333,183,183,239,241
C1623,31,248,248,104,128,163,165,199,219,177,187,327,331,179,191,221,227
C1625,31,248,250,128,132,159,171,207,207,183,183,327,333,189,189,221,235
C1633,31,250,254,128,128,165,165,205,211,177,183,333,333,169,189,237,239
C1641,31,282,290,128,132,165,177,203,205,185,187,333,341,187,187,221,221
C3202,31,264,276,124,130,163,163,207,207,170,177,333,341,189,189,221,227
C3248,31,248,276,130,174,175,177,203,207,170,179,333,333,183,185,221,235
C3304,31,0,0,104,128,155,0,209,213,183,183,339,339,181,189,221,221
C3333,31,276,276,120,128,161,175,203,207,177,183,333,339,169,191,227,235
C3339,31,0,0,120,128,0,0,201,219,177,193,333,339,169,191,239,239
C3346,31,248,276,120,122,155,165,203,207,179,193,339,341,181,191,221,239
C3349,31,248,276,120,124,155,177,203,207,185,187,333,339,191,191,235,239
C3367,31,282,282,104,122,163,175,0,0,170,181,327,327,189,191,227,239
