"","Ind","Pop","Longitude","Latitude","B114_1","B114_2","B159__1","B159_2","WGA_1","WGA_2","A5_1","A5_2","B121_1","B121_2","B147_1","B147_2","B249_1","B249_2","B264_1","B264_2"
"1","C3984","31",-66.008133,46.5847,248,258,126,130,165,177,205,209,177,181,335,341,181,181,221,239
"2","C3985","31",-66.169433,46.54515,260,280,104,124,165,177,203,219,177,183,327,335,189,189,235,239
"4","C4231","31",-66.00969,46.58398,276,276,116,122,159,167,205,211,177,183,333,335,183,185,231,239
"5","C4344","31",-66.21698,46.52758,248,248,120,128,165,175,203,213,183,187,327,327,187,189,235,239
"6","C4347","31",-66.21658,46.52859,276,276,122,128,159,175,205,219,177,181,0,0,187,189,227,237
"11","C4355","31",-66.02469,46.5824,248,254,120,128,163,163,205,207,177,177,0,0,185,191,221,237
"27","C4429","31",-65.8899,46.60793,248,254,128,132,163,165,203,207,177,183,333,339,185,191,237,239
"30","C4432","31",-65.89039,46.6082,254,254,132,136,159,163,203,203,177,187,333,333,183,191,239,239
"34","C4436","31",-66.16756,46.54517,248,248,122,128,155,163,219,219,177,177,333,333,181,189,227,235
"47","C4450","31",-66.16978,46.54542,254,258,104,128,163,173,205,207,177,183,333,337,169,181,235,239
"49","C4531","31",-65.88141,46.61545,248,260,104,128,155,161,203,203,177,183,337,343,179,187,237,237
"50","C1615","31",-66.0242642,46.5798023,248,250,130,130,163,171,207,207,177,187,333,333,181,185,235,235
"51","C1616","31",-66.0255204,46.5806991,248,270,115,128,161,161,203,211,171,177,333,333,185,187,235,237
"53","C1618","31",-66.0260447,46.5801817,248,248,124,132,163,175,205,217,177,181,333,339,185,189,235,237
"54","C1619","31",-66.0257488,46.580579,248,248,130,132,163,165,203,207,183,193,333,339,189,191,221,239
"55","C1620","31",-66.0252398,46.5808178,248,250,128,132,159,163,203,217,0,0,339,339,185,189,221,237
"56","C1621","31",-66.0239152,46.5811703,250,254,115,130,165,171,211,211,177,177,327,333,183,183,239,241
"58","C1623","31",-66.0232172,46.5815211,248,248,104,128,163,165,199,219,177,187,327,331,179,191,221,227
"60","C1625","31",-66.0246294,46.5809999,248,250,128,132,159,171,207,207,183,183,327,333,189,189,221,235
"65","C1633","31",-66.026569,46.5820493,250,254,128,128,165,165,205,211,177,183,333,333,169,189,237,239
"73","C1641","31",-66.026902,46.58312,282,290,128,132,165,177,203,205,185,187,333,341,187,187,221,221
"87","C3202","31",-66.22345,46.52545,264,276,124,130,163,163,207,207,170,177,333,341,189,189,221,227
"88","C3248","31",-66.22122,46.52693,248,276,130,174,175,177,203,207,170,179,333,333,183,185,221,235
"90","C3304","31",-66.22307,46.52577,0,0,104,128,155,0,209,213,183,183,339,339,181,189,221,221
"93","C3333","31",-66.21975,46.52648,276,276,120,128,161,175,203,207,177,183,333,339,169,191,227,235
"94","C3339","31",-66.221,46.52593,0,0,120,128,0,0,201,219,177,193,333,339,169,191,239,239
"95","C3346","31",-66.21865,46.52722,248,276,120,122,155,165,203,207,179,193,339,341,181,191,221,239
"96","C3349","31",-66.221,46.52723,248,276,120,124,155,177,203,207,185,187,333,339,191,191,235,239
"98","C3367","31",-66.21833,46.52697,282,282,104,122,163,175,0,0,170,181,327,327,189,191,227,239
"100","C3374","31",-66.22652,46.5248,248,248,122,122,165,177,201,205,183,193,333,341,191,191,221,237
"103","C3405","31",-66.21907,46.52663,282,282,104,122,165,177,205,209,183,185,327,333,169,183,235,235
"105","C1692","151",-78.5228007,44.6061659,252,254,104,140,165,167,203,207,171,179,335,341,183,189,221,235
"106","C1693","151",-78.5243996,44.6059035,254,256,104,130,171,179,209,209,177,177,333,333,191,191,221,235
"107","C1694","151",-78.5243943,44.6060295,248,290,104,130,165,169,207,209,179,183,333,333,183,191,221,221
"109","C1698","151",-78.5262107,44.6050966,248,258,124,128,163,183,199,211,171,179,333,333,183,191,229,235
"110","C1699","151",-78.5307984,44.6065643,256,282,128,128,165,175,209,213,171,177,331,337,169,183,227,227
"111","C1700","151",-78.5329318,44.6052871,248,256,128,130,159,171,203,207,177,177,331,333,183,187,221,235
"112","C1701","151",-78.5257843,44.603863,252,270,122,124,161,171,205,207,171,177,327,337,181,193,221,237
"113","C1702","151",-78.5248344,44.6030862,252,260,104,128,161,175,199,209,171,189,333,341,183,193,221,229
"114","C1703","151",-78.5243469,44.6021034,248,256,124,128,163,163,205,207,177,185,335,337,183,193,235,235
"115","C1704","151",-78.5243675,44.6019148,256,286,124,130,163,163,203,205,169,179,333,335,183,191,235,237
"116","C1705","151",-78.526917,44.6033024,248,260,104,104,155,167,209,211,177,185,331,335,187,191,235,235
"117","C1706","151",-78.5268937,44.603851,248,254,122,124,165,171,207,207,171,191,327,337,187,187,221,227
"118","C1707","151",-78.5269692,44.6041498,250,252,122,128,165,177,199,207,177,177,333,339,183,183,221,235
"119","C1708","151",-78.5249716,44.6048987,254,258,120,132,165,169,209,211,171,185,333,333,181,191,229,243
"121","C1710","151",-78.5240128,44.605517,252,258,124,132,159,161,203,207,171,189,333,339,181,185,229,235
"122","C1712","151",-78.5229961,44.6048288,248,260,104,134,161,179,205,207,179,189,331,339,169,169,235,235
"123","C1714","151",-78.5218979,44.6039857,256,260,128,132,163,171,205,209,183,189,335,337,169,183,221,221
"124","C1715","151",-78.5223125,44.604904,248,252,128,130,155,167,213,217,171,185,333,337,169,189,227,235
"125","C1717","151",-78.5221118,44.6048816,252,256,128,130,155,161,203,203,183,185,333,333,191,191,221,235
"126","C1718","151",-78.5223635,44.6054813,0,0,0,0,155,167,203,217,173,187,333,333,169,191,235,237
"127","C1719","151",-78.5220366,44.6054652,248,276,104,130,159,169,203,209,177,179,331,333,173,183,221,235
"128","C1720","151",-78.5218496,44.6054161,248,258,130,134,159,179,205,209,177,179,331,339,169,183,221,235
"129","C1656","170",-77.0865895,45.3966815,254,268,124,124,165,171,207,207,177,177,337,337,169,183,229,235
"130","C1657","170",-77.0863352,45.3967132,268,276,104,104,163,175,0,0,171,189,335,337,169,183,227,235
"131","C1658","170",-77.0868288,45.3965871,266,268,104,124,173,173,199,207,171,177,333,333,183,183,235,235
"132","C1659","170",-77.087019,45.3965476,252,262,104,124,161,175,203,215,177,179,335,339,169,169,235,241
"133","C1661","170",-77.0878786,45.3962979,248,266,104,128,165,177,203,207,177,189,333,337,169,169,229,251
"137","C1665","170",-77.0851977,45.3932324,274,276,120,122,165,173,207,211,171,179,333,337,169,169,221,235
"138","C1667","170",-77.0859649,45.3935964,260,260,124,130,171,173,0,0,179,189,331,337,187,191,233,235
"140","C1674","170",-77.0838528,45.393833,248,280,0,0,0,0,203,217,191,193,339,341,169,185,235,235
"144","C1682","170",-77.0834016,45.3926801,248,254,128,130,155,165,207,211,189,191,333,335,183,183,223,227
"146","C1685","170",-77.0667948,45.3920188,274,276,128,130,161,165,203,217,173,191,333,337,169,183,227,229
"149","C4543","568",-67.76541,46.80829,248,254,122,122,167,179,207,207,177,183,335,341,183,191,221,239
"151","C4545","568",-67.71828,46.81424,248,280,0,0,163,179,217,217,177,189,329,335,179,181,239,239
"156","C4551","568",-67.71926,46.8078,248,248,0,0,161,165,211,217,179,179,341,341,183,189,237,237
"158","C4490","568",-67.48239,46.79328,280,280,104,130,171,179,203,211,177,187,337,341,172,181,223,239
"159","C4491","568",-67.42652,46.85066,256,256,104,120,163,163,203,211,177,179,337,341,169,185,221,235
"162","C4494","568",-67.48274,46.79346,276,276,104,120,163,179,205,211,177,177,335,341,181,183,235,239
"165","C4497","568",-67.48536,46.79283,258,276,124,128,177,177,217,217,183,187,341,343,183,191,221,235
"169","C4501","568",-67.43448,46.8676,248,254,136,136,163,179,205,205,177,179,335,339,181,181,221,229
"170","C4502","568",-67.43421,46.86742,248,264,104,136,163,165,203,203,177,183,333,333,181,185,221,237
"171","C4503","568",-67.46809,46.81286,248,272,122,132,179,179,209,209,177,189,337,341,169,183,235,239
"172","C4504","568",-67.51776,46.7825,254,276,124,126,163,165,209,209,175,175,333,343,169,191,223,239
"175","C4470","568",-67.74347,46.5911,264,282,128,134,177,179,205,211,171,179,333,335,169,179,221,235
"179","C4474","568",-67.74245,46.58837,248,248,104,122,163,179,211,211,171,179,335,343,169,183,223,237
"184","C4479","568",-67.74587,46.58565,278,278,124,128,155,175,211,211,177,177,341,341,169,187,221,239
"187","C4482","568",-67.74605,46.58723,276,276,130,136,165,171,207,207,171,177,343,345,181,183,227,239
"190","C4485","568",-67.74468,46.58895,276,282,104,122,165,179,207,207,171,179,335,335,185,187,221,235
"194","C4505","568",-67.69682,46.76226,248,248,122,124,163,179,201,205,181,187,335,339,169,183,235,239
"196","C4507","568",-67.69671,46.76189,248,258,122,134,155,167,205,205,177,183,335,335,191,191,237,237
"205","C4542","568",-67.72968,46.779342,246,248,104,104,167,171,205,205,181,185,337,343,183,191,235,239
"209","C4555","568",-67.7196,46.67613,248,280,0,0,161,163,211,211,177,187,333,333,185,189,227,227
"236","C4693","568",-67.70884,46.7767,264,282,122,124,155,159,203,211,177,177,333,341,187,189,237,237
"237","C4696","568",-67.69806,46.76454,248,280,104,128,155,179,201,205,177,193,333,337,187,189,235,237
"239","C3179","568",-67.74717,46.5919,248,280,104,130,163,163,207,207,179,183,339,339,191,191,239,239
"241","C3188","568",-67.74478,46.5877,248,254,120,130,163,177,205,207,177,183,335,341,169,191,221,235
"244","C3193","568",-67.74605,46.58963,276,282,104,134,175,177,207,211,170,179,333,339,185,185,227,235
"246","C3232","568",-67.7447,46.58927,254,276,104,158,163,163,203,217,177,181,335,341,169,185,221,239
"247","C3236","568",-67.74492,46.59042,280,282,122,130,159,163,203,205,183,185,333,341,183,191,239,239
"249","C3250","568",-67.74435,46.58935,248,282,124,136,177,177,205,211,181,181,333,339,169,191,235,239
"251","C3252","568",-67.74463,46.58732,248,254,104,136,163,175,203,207,177,185,333,341,187,187,235,235
"252","C3253","568",-67.74478,46.58915,248,258,128,130,163,177,201,211,177,183,333,335,183,187,221,239
"254","C3277","568",-67.74417,46.58888,248,282,120,128,171,175,207,211,177,179,333,339,187,191,221,237
"255","C3315","568",-67.74428,46.59058,248,256,104,136,165,165,211,211,183,189,341,343,169,191,235,237
"261","C3288","568",-67.74478,46.5877,276,282,124,128,163,179,203,207,170,177,333,333,183,189,227,227
"262","C3293","568",-67.74605,46.58963,264,282,104,122,165,165,203,209,179,187,327,333,169,169,221,227
"263","C4018","1014",-65.557611,45.707194,276,276,122,128,163,163,203,205,170,185,335,343,187,187,239,239
"264","C3980","1014",-66.169338,45.438321,272,280,104,128,159,179,203,203,177,177,335,341,187,191,221,235
"265","C3987","1014",-66.173779,45.441761,260,272,104,128,163,177,205,217,177,183,335,341,179,189,221,235
"266","C3988","1014",-66.122472,45.633334,248,260,124,130,175,175,203,205,177,183,341,341,181,189,221,221
"267","C3989","1014",-66.122858,45.633238,280,280,122,122,165,171,197,203,183,183,333,341,177,187,210,210
"269","C4011","1014",-65.39142,45.773113,248,254,104,130,177,177,203,203,170,177,339,345,181,181,221,221
"270","C4017","1014",-65.35059,45.95345,248,258,104,124,163,179,203,203,177,177,341,343,169,187,239,239
"271","C4296","1014",-65.8775,45.56496,248,248,122,136,163,173,203,211,170,177,333,333,183,187,221,235
"275","C4301","1014",-65.86193,45.64833,254,254,104,104,167,167,209,209,177,177,333,339,169,183,221,223
"279","C4305","1014",-65.81559,45.6669,248,254,104,104,165,171,203,215,177,179,0,0,169,181,219,221
"281","C4453","1014",-65.47487,45.71189,254,254,104,130,165,175,203,203,177,187,333,339,183,187,221,239
"283","C4455","1014",-65.47464,45.7115,0,0,122,124,165,165,203,203,170,187,327,333,183,187,221,227
"297","C4783","1014",-65.3239,46.01134,276,280,124,130,155,165,194,203,177,181,341,343,169,187,227,243
"298","C4786","1014",-65.32406,46.01204,248,280,104,130,167,179,203,207,177,183,333,333,185,187,235,239
"300","C4891","1014",-65.31928,46.01513,274,276,128,130,177,181,203,203,177,181,339,339,189,191,223,235
"301","C4892","1014",-65.31964,46.01468,248,280,104,122,167,167,203,207,179,183,343,343,189,191,221,223
"302","C4893","1014",-65.31942,46.01396,274,276,122,130,171,171,203,207,177,181,333,341,187,189,223,223
"307","C4898","1014",-65.31878,46.01289,254,276,104,122,163,171,194,207,177,183,333,339,185,189,223,239
"310","C4901","1014",-65.32207,46.01352,272,276,104,104,163,181,203,207,177,179,333,341,185,185,239,239
"317","C3271","1014",-66.12552,45.46955,260,280,120,128,165,167,217,219,177,183,327,329,183,185,239,239
"318","C3272","1014",-66.12552,45.46955,276,280,128,128,167,177,209,217,170,177,329,333,169,169,221,235
"319","C3276","1014",-66.12552,45.46955,258,282,104,104,167,175,207,209,181,185,329,339,169,191,221,227
"320","C3280","1014",-66.12552,45.46955,258,276,124,130,163,163,205,217,183,189,0,0,183,189,235,239
"323","C3306","1014",-66.12552,45.46955,260,276,128,128,165,175,205,217,177,183,333,333,183,193,221,221
"324","C3324","1014",-66.12552,45.46955,248,248,136,136,163,163,203,205,179,189,329,337,189,189,235,239
"330","C3336","1014",-66.12552,45.46955,248,280,104,128,163,167,203,217,170,177,333,339,169,183,235,235
"335","C3409","1014",-66.12552,45.46955,248,254,130,132,161,187,205,211,177,177,0,0,181,183,221,221
"343","C3227","1014",-65.31953,46.01322,272,278,104,122,167,179,203,203,177,183,333,339,187,191,227,239
"344","C3228","1014",-65.32067,46.01323,248,256,104,122,159,177,199,211,177,183,329,341,169,181,237,237
"351","C3321","1014",-65.32025,46.01272,278,280,104,104,177,179,193,205,177,181,333,341,181,181,227,227
"355","C3237","1014",-65.90425,45.5082,248,278,106,124,161,165,203,205,177,183,327,341,185,187,227,239
"357","C3303","1014",-65.90413,45.50905,248,280,130,130,163,163,205,207,177,185,333,333,185,187,235,235
"358","C3317","1014",-65.90372,45.50978,248,248,130,132,163,171,203,205,177,183,333,333,181,187,239,239
"363","C3376","1014",-65.91717,45.50238,248,276,124,124,163,177,203,203,177,185,0,0,187,189,221,237
"366","C3401","1014",-65.90112,45.51218,258,280,104,128,175,177,203,205,177,193,333,339,181,189,235,235
"371","C3245","1014",-65.44883,45.69812,254,278,128,128,161,175,207,207,170,179,327,339,189,189,221,235
"374","C3302","1014",-65.44983,45.69878,276,276,104,124,161,163,205,207,170,177,327,333,187,189,225,227
"375","C3307","1014",-65.44868,45.69893,248,248,122,130,171,175,207,211,179,187,327,341,183,183,225,239
"376","C3310","1014",-65.4426,45.69753,256,274,120,130,163,165,203,203,170,185,339,341,185,189,225,227
"377","C3312","1014",-65.446,45.69767,254,276,128,130,165,165,207,211,177,187,339,341,0,0,231,239
"379","C3345","1014",-65.44327,45.69808,254,280,130,130,163,163,203,209,177,187,327,341,169,185,221,225
"380","C3362","1014",-65.44008,45.69513,248,274,104,128,165,167,203,207,170,177,333,333,169,189,221,227
"381","C3371","1014",-65.44152,45.69785,280,282,104,130,171,177,203,207,170,179,327,333,183,191,225,225
"382","C3372","1014",-65.44195,45.69697,248,280,122,128,163,171,203,211,177,187,333,341,183,183,221,225
"385","C3393","1014",-65.44212,45.69723,254,276,122,122,163,171,203,207,179,187,333,341,185,185,225,225
"387","C3417","1014",-65.44623,45.698,254,282,122,130,171,177,203,209,170,177,327,333,189,191,221,229
"388","C4569","7917",-67.77381,46.11324,256,256,0,0,165,175,207,211,171,179,333,343,183,191,235,235
"389","C4570","7917",-67.77499,46.11107,248,248,0,0,155,163,205,211,171,179,333,343,179,187,239,239
"390","C4571","7917",-67.7771,46.11139,254,282,0,0,163,175,211,217,177,181,333,339,169,187,237,237
"394","C4575","7917",-67.78121,46.1109,264,282,0,0,163,163,207,207,177,177,339,343,169,177,221,239
"396","C4577","7917",-67.78123,46.1098,248,280,0,0,161,163,203,217,181,183,341,341,167,177,237,239
"398","C4599","7917",-67.72555,46.2172,248,276,0,0,177,189,203,209,177,177,329,339,181,189,221,227
"407","C4608","7917",-67.67991,46.19519,248,254,0,0,165,179,203,207,171,189,333,335,169,189,221,239
"411","C4612","7917",-67.68191,46.19322,248,282,0,0,159,165,203,203,177,183,331,343,169,177,235,235
"417","C4618","7917",-67.67003,46.17844,280,280,122,132,163,179,0,0,177,187,333,333,169,183,221,237
"420","C4621","7917",-67.67352,46.19163,254,272,122,122,159,177,217,217,181,187,341,341,169,189,221,227
"421","C4622","7917",-67.73211,46.22433,248,276,104,130,179,179,203,217,185,185,327,345,169,185,239,239
"422","C4623","7917",-67.72203,46.22078,248,252,122,122,163,165,205,205,185,193,327,333,183,191,237,239
"423","C4624","7917",-67.72523,46.21958,248,278,104,124,163,179,211,219,171,183,333,341,181,185,223,237
