"","CN","PLT_CN","PREV_TRE_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","TREE","CONDID","AZIMUTH","DIST","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIAHTCD","HT","HTCD","ACTUALHT","TREECLCD","CR","CCLCD","TREEGRCD","AGENTCD","CULL","DAMLOC1","DAMTYP1","DAMSEV1","DAMLOC2","DAMTYP2","DAMSEV2","DECAYCD","STOCKING","VOLCFNET","VOLCFGRS","VOLCSNET","VOLCSGRS","VOLBFNET","VOLBFGRS","VOLCFSND","GROWCFGS","GROWBFSL","GROWCFAL","MORTCFGS","MORTBFSL","MORTCFAL","REMVCFGS","REMVBFSL","REMVCFAL","DIACHECK","MORTYR","SALVCD","UNCRCD","CPOSCD","CLIGHTCD","CVIGORCD","CDENCD","CDIEBKCD","TRANSCD","TREEHISTCD","DIACALC","CULLBF","CULLCF","BFSND","CFSND","SAWHT","BOLEHT","HTCALC","SITREE","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_DATE","MODIFIED_IN_INSTANCE","HTDMP","ROUGHCULL","CULL_FLD","RECONCILECD","PREVDIA","FGROWCFGS","FGROWBFSL","FGROWCFAL","FMORTCFGS","FMORTBFSL","FMORTCFAL","FREMVCFGS","FREMVBFSL","FREMVCFAL","P2A_GRM_FLG","TREECLCD_NERS","TREECLCD_SRS","TREECLCD_NCRS","STANDING_DEAD_CD","PREV_STATUS_CD","TPA_UNADJ","TPAMORT_UNADJ","TPAREMV_UNADJ","TPAGROW_UNADJ","DRYBIO_BOLE","DRYBIO_TOP","DRYBIO_STUMP","DRYBIO_SAPLING","DRYBIO_BG","CARBON_AG","CARBON_BG","CYCLE","SUBCYCLE","DISEASE_SRS","DIEBACK_SEVERITY_SRS","DAMAGE_AGENT_CD1","DAMAGE_AGENT_CD2","DAMAGE_AGENT_CD3","VOLCSSND","DRYBIO_SAWLOG","DRYBIO_AG","CULL_BF_ROTTEN","CULL_BF_ROTTEN_CD","CULL_BF_ROUGH","CULL_BF_ROUGH_CD","PREVDIA_FLD","TREECLCD_31_NCRS","TREE_GRADE_NCRS","BOUGHS_AVAILABLE_NCRS","BOUGHS_HRVST_NCRS","TREECLCD_31_NERS","AGENTCD_NERS","BFSNDCD_NERS","CAVITY_USE_PNWRS","GST_PNWRS"
"113793",157643263010854,157501412010854,NA,1972,1,6,71,90123,105,3,1,NA,NA,1,2,601,41,13,1,NA,NA,NA,3,NA,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,-2.079318,NA,NA,21.100767,NA,NA,NA,NA,1971,0,NA,NA,NA,NA,NA,NA,NA,21,13,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-14",489998,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4.051,0.479983,NA,4.4,NA,NA,NA,NA,NA,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"116795",157654886010854,157501783010854,NA,1972,1,6,89,90001,106,3,1,NA,NA,NA,1,601,41,1.5,1,NA,NA,NA,2,NA,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-28",489998,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,3.734455,0.925921,1.867228,0.462961,4,0,NA,NA,NA,NA,NA,NA,NA,3.734455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"179771",157787178010854,157528217010854,NA,1982,1,5,37,90065,102,5,1,NA,NA,1,1,601,41,15.9,1,90,NA,NA,2,56,3,1,27,6,NA,NA,NA,NA,NA,NA,NA,7.6,29.959,31.959,26.176,26.176,161.601,161.601,29.959,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-28",489998,NA,NA,NA,NA,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5.439,NA,NA,5.439,785.165472,179.417592,33.025684,NA,191.366831,498.804374,95.683416,5,0,NA,NA,NA,NA,NA,NA,NA,997.608748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"198317",157812541010854,157530308010854,NA,1982,1,6,89,90062,102,9,1,NA,NA,1,1,601,41,1.8,1,NA,NA,NA,3,NA,4,NA,50,0,NA,NA,NA,NA,NA,NA,NA,1.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-28",489998,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,91.685,NA,NA,91.685,NA,NA,NA,5.987563,1.405135,2.993782,0.702568,5,0,NA,NA,NA,NA,NA,NA,NA,5.987563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"228003",157964413010854,157573215010854,NA,1990,1,2,99,90007,108,1,1,NA,NA,1,1,601,41,8.8,1,61,NA,NA,2,69,4,NA,60,0,NA,NA,NA,NA,NA,NA,NA,4.5,9.258,9.258,0,0,0,0,9.258,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-28",489998,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8.878,NA,NA,8.878,242.633664,80.768156,14.947016,NA,66.13494,169.174418,33.06747,6,0,NA,NA,NA,NA,NA,NA,NA,338.348836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"298781",157916059010854,157571390010854,NA,1990,1,5,37,90065,102,5,1,NA,NA,1,3,601,41,16.7,1,NA,NA,NA,2,NA,0,NA,80,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,34.001839,174.006987,34.001839,NA,1989,NA,NA,NA,NA,NA,NA,NA,NA,35,16.7,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-14",489998,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4.931,NA,0.679875,5.439,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"305742",157979823010854,157573744010854,NA,1990,1,5,115,90001,107,2,1,NA,NA,NA,1,601,41,2.1,1,NA,NA,NA,2,NA,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,4.991,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-28",489998,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,8.876327,2.008664,4.438164,1.004332,6,0,NA,NA,NA,NA,NA,NA,NA,8.876327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"315853",157910236010854,157571211010854,NA,1990,1,6,33,90013,101,3,1,NA,NA,1,1,601,41,4.5,1,NA,NA,NA,3,NA,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,3.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-28",489998,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,91.685,NA,NA,91.685,NA,NA,NA,60.322725,12.288389,30.161363,6.144195,6,0,NA,NA,NA,NA,NA,NA,NA,60.322725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"322183",157943204010854,157572412010854,NA,1990,1,6,71,90115,106,3,1,NA,NA,NA,1,601,41,1.1,1,NA,NA,NA,2,NA,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.601,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-28",489998,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1.616887,0.463312,0.808444,0.231656,6,0,NA,NA,NA,NA,NA,NA,NA,1.616887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"325934",157956012010854,157572905010854,NA,1990,1,6,89,90062,102,9,1,NA,NA,1,1,601,41,2.1,1,NA,NA,NA,3,NA,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-25",10854,"2016-10-28",489998,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,91.685,NA,NA,91.685,NA,NA,NA,8.876327,2.008664,4.438164,1.004332,6,0,NA,NA,NA,NA,NA,NA,NA,8.876327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
