"","associatedsequences","barcodevalue","basisofrecord","bed","canonicalname","catalognumber","class","collectioncode","collectionid","collectionname","collector","commonname","continent","coordinateuncertainty","country","countrycode","county","datasetid","datecollected","datemodified","dqs","earliestageorloweststage","earliesteonorlowesteonothem","earliestepochorlowestseries","earliesteraorlowesterathem","earliestperiodorlowestsystem","etag","eventdate","family","fieldnumber","formation","genus","geologicalcontextid","geopoint.lon","geopoint.lat","group","hasImage","hasMedia","highertaxon","highestbiostratigraphiczone","individualcount","infraspecificepithet","institutioncode","institutionid","institutionname","kingdom","latestageorhigheststage","latesteonorhighesteonothem","latestepochorhighestseries","latesteraorhighesterathem","latestperiodorhighestsystem","lithostratigraphicterms","locality","lowestbiostratigraphiczone","maxdepth","maxelevation","member","mindepth","minelevation","municipality","occurrenceid","order","phylum","query","recordnumber","recordset","scientificname","sort","specificepithet","startdayofyear","stateprovince","taxonid","taxonomicstatus","taxonrank","typestatus","uuid","verbatimeventdate","verbatimlocality","version","waterbody"
"1",NA,NA,"preservedspecimen",NA,"juglans cinerea","89803","magnoliopsida","botany",NA,NA,"johnson, frank w.",NA,"north america",NA,"united states","usa","cattaraugus","7ddf754f-d193-4cc9-b351-99906754a03b","1921-05-30T00:00:00+00:00","2018-07-13T10:41:45.722274+00:00",0.260869565217391,NA,NA,NA,NA,NA,"113396a38a4f9acd260c65249f87deca0e6f8bcb","1921-05-30","juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,FALSE,FALSE,"magnoliophyta | juglandaceae | juglans",NA,NA,NA,"buf","http://grbio.org/institution/buffalo-society-natural-sciences",NA,"plantae",NA,NA,NA,NA,NA,NA,",,, cattaraugus indian reservation",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:buf:botany:89803","fagales","tracheophyta",NA,"319","d478c23a-1993-443d-85ea-308870606626","juglans cinerea",NA,"cinerea",150,"new york","3054352","accepted","species",NA,"00763790-7f4d-46d3-a48c-a944b3b5f56e","may 30, 1921","usa | new york | cattaraugus | ,,, cattaraugus indian reservation",NA,NA
"2",NA,NA,"preservedspecimen",NA,"juglans cinerea","b144881","magnoliopsida","mil","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125261",NA,"l. leitner",NA,"north america",NA,"united states","usa","dodge","7ddf754f-d193-4cc9-b351-99906754a03b","1988-07-13T00:00:00+00:00","2016-09-07T15:22:58.212325+00:00",0.246376811594203,NA,NA,NA,NA,NA,"b3d86feead9a46bd861757493eca04012336eecd","1988-07-13","juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"mpm","http://grbio.org/cool/7hds-psx6",NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mayville","42724b6c-d4c9-481a-8446-90dc618ebb8f","fagales","tracheophyta",NA,"1184","c2767dde-1315-4d78-abf9-8e098dd588ab","juglans cinerea",NA,"cinerea",195,"wisconsin","3054352","accepted","species",NA,"00775c16-d8e0-4ea2-8994-7ddfb88ff299",NA,NA,NA,NA
"3",NA,NA,"preservedspecimen",NA,"juglans cinerea","000103040","magnoliopsida",NA,"5082277f-dd49-4b22-9e2d-746d2fb233b4",NA,NA,NA,"north america",NA,"united states","usa",NA,"7ddf754f-d193-4cc9-b351-99906754a03b",NA,"2020-11-06T21:55:49.936938+00:00",0.144927536231884,NA,NA,NA,NA,NA,"b684503ae1d88993e253edc5e048d2ce867b44f8",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"fsu",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:uuid:f92d72d2-b8ec-430e-ae33-a16e3b29711e","fagales","tracheophyta",NA,NA,"ddef79ec-043c-4027-9876-c4a298feff6d","juglans cinerea",NA,"cinerea",NA,"wisconsin","3054352","accepted","species",NA,"007fa2e8-d8c9-4786-9e9c-691e4d132591",NA,NA,NA,NA
"4",NA,NA,"preservedspecimen",NA,"juglans cinerea","cm034099","magnoliopsida","botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1",NA,"jennings, o.e.",NA,"north america",NA,"united states","usa","centre","7ddf754f-d193-4cc9-b351-99906754a03b","1917-06-02T00:00:00+00:00","2021-02-09T23:59:03.942712+00:00",0.289855072463768,NA,NA,NA,NA,NA,"41a5f58e4509ef59d448d57f9cd1878473712553","1917-06-02","juglandaceae",NA,NA,"juglans",NA,-77.77830125,40.75173157,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"cm",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,"boalsburg to bear meadows",NA,NA,NA,NA,NA,NA,NA,"635179d6-bacb-438f-a8ce-1592fc66f094","fagales","tracheophyta",NA,"s.n.","db6c3db9-1e6d-4def-af29-33aa0339bfa9","juglans cinerea",NA,"cinerea",153,"pennsylvania","3054352","accepted","species",NA,"008cee0e-5a85-4148-b134-bc85487e32c1","2 jun 1917",NA,NA,NA
"5",NA,NA,"preservedspecimen",NA,"juglans cinerea","uvmvt058511","magnoliopsida","vt","urn:lsid:biocol.org:col:15545",NA,NA,NA,"north america",8078,"united states","usa","lamoille","7ddf754f-d193-4cc9-b351-99906754a03b","1893-07-01T00:00:00+00:00","2018-07-13T10:40:15.713444+00:00",0.231884057971014,NA,NA,NA,NA,NA,"ab77e6d60f8ce9bc129100f990aa771bdc1e8ce6","1893-07-01","juglandaceae",NA,NA,"juglans",NA,-72.68504,44.64796,NA,TRUE,TRUE,NA,NA,NA,NA,"university of vermont",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"johnson","426c5313-e0d0-4ca8-9a9c-f5f5437796f3","fagales","tracheophyta",NA,NA,"ba54ba45-caac-4708-a389-ac94642976f8","juglans cinerea",NA,"cinerea",182,"vermont","3054352","accepted","species",NA,"0095ea7c-c3f8-46f0-a611-69587b7ce386",NA,NA,NA,NA
"6",NA,NA,"preservedspecimen",NA,"juglans cinerea","2162670","magnoliopsida","v",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7ddf754f-d193-4cc9-b351-99906754a03b",NA,"2021-02-09T22:14:00.090371+00:00",0.0579710144927536,NA,NA,NA,NA,NA,"5b1284042edf1a7a3a91b1531881239813c826d3",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"o",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:o:v:2162670","fagales","tracheophyta",NA,NA,"e6ccc2bd-9451-4802-8a51-8640d9f09793","juglans cinerea",NA,"cinerea",NA,NA,"3054352","accepted","species",NA,"00d9cb29-661f-4a68-97d6-a03de5450d3d",NA,NA,NA,NA
"7",NA,NA,"preservedspecimen",NA,"juglans cinerea","clems0071869","magnoliopsida",NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707",NA,NA,NA,"north america",NA,"united states","usa","vinton","7ddf754f-d193-4cc9-b351-99906754a03b",NA,"2020-11-06T22:11:44.586544+00:00",0.159420289855072,NA,NA,NA,NA,NA,"4fa94a549b1d7569c7524751265f16d1174cf983",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"clems",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fd2e8e59-4bbd-421d-9f91-64131c79c856","fagales","tracheophyta",NA,NA,"264c48ec-8636-451f-a7e0-74131bc6f84c","juglans cinerea",NA,"cinerea",NA,"ohio","3054352","accepted","species",NA,"00db5779-9e14-4658-a76e-15ab9c2f8ada",NA,NA,NA,NA
"8",NA,NA,"preservedspecimen",NA,"juglans cinerea","brit120994","magnoliopsida","vdb","9bec1885-8556-470e-80f3-f31ed15228b0",NA,"milo pyne",NA,"north america",NA,"united states","usa","lawrence","7ddf754f-d193-4cc9-b351-99906754a03b","1993-01-04","2021-01-01T09:08:47.852700+00:00",0.217391304347826,NA,NA,NA,NA,NA,"c64c5436620b0f3a45be13a011430c9601556719",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"vdb",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19e8dc87-3418-431b-a324-0d33f6107df5","fagales","tracheophyta",NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c","juglans cinerea",NA,"cinerea",4,"tennessee","3054352","accepted","species",NA,"00e61f26-1f4c-4ff4-af07-728241fc5082",NA,NA,NA,NA
"9",NA,NA,"preservedspecimen",NA,"juglans cinerea","ph00569398","magnoliopsida",NA,"019a3280-a69f-4312-bb30-8556e270f1a5",NA,NA,NA,"north america",NA,"united states","usa",NA,"7ddf754f-d193-4cc9-b351-99906754a03b",NA,"2020-11-06T21:42:11.998674+00:00",0.144927536231884,NA,NA,NA,NA,NA,"37e4732e4b5371098c516059dbfbd354c90e9dd4",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"ph",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e299ac24-6d50-4596-a13f-872dfb934a99","fagales","tracheophyta",NA,NA,"65536dcd-7bb2-44e5-af3f-4a13f08e53d0","juglans cinerea",NA,"cinerea",NA,"pennsylvania","3054352","accepted","species",NA,"00ecd26e-1f0b-491e-be4c-6b94412ffd4f",NA,NA,NA,NA
"10",NA,NA,"preservedspecimen",NA,"juglans cinerea","pac0020550","magnoliopsida",NA,"512d3c7f-fb50-4ef3-b2fd-4e1847b513fc",NA,"w. f. westerfeld",NA,"north america",NA,"united states","usa","mifflin","7ddf754f-d193-4cc9-b351-99906754a03b","1955-08-06T00:00:00+00:00","2020-11-06T21:46:20.107938+00:00",0.246376811594203,NA,NA,NA,NA,NA,"df90362d2d164d0e8fc8e4cdb43a745b8f1c570f","1955-08-06","juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"pac",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,"4 miles ssw of belleville",NA,NA,NA,NA,NA,NA,NA,"34c66709-f8cd-47ac-8f7e-a4dafb8186ca","fagales","tracheophyta",NA,"16546","46c11153-2154-495d-89d2-7cdef6425cdb","juglans cinerea",NA,"cinerea",218,"pennsylvania","3054352","accepted","species",NA,"00fdc1fe-1aa5-4c01-9c9e-a2a9323ecd25",NA,NA,NA,NA
