"","Variable","Correlation Coef"
"1","MAT","0.100611300483473"
"2","MTwarQ","0.0978486753343513"
"3","MTCQ","0.09156903311712"
"4","MAP","0.0939452997726982"
"5","PwetM","0.221170127691205"
"6","PDM","-0.0245221026920885"
"7","precip_season","0.122029029221523"
"8","PwetQ","0.207075786354562"
"9","PDQ","0.00238730088930457"
"10","PwarQ","0.0943939086740481"
"11","PCQ","0.0856230075530925"
"12","MDR","0.0999287177029871"
"13","ISO","0.113224981760977"
"14","temp_season","-0.0672416492341258"
"15","MTwarM","0.080632111426673"
"16","MTCM","0.0616150604956291"
"17","temp_range","-0.0333531789609778"
"18","MTwetQ","-0.00992583482917668"
"19","MTDQ","0.181105833417307"
