"","","","butternut_col"
"1","-66.0649746336957","46.569220751087","darkmagenta"
"2","-67.6986839090909","46.6681342909091","darkorchid3"
"3","-65.6398623214286","45.7310288482143","deeppink3"
"4","-67.6512319607843","46.0501162745098","darkviolet"
"5","-66.4238415678414","45.8714787837004","deeppink"
"6","-66.7397802674603","45.9914942103175","lightpink"
"7","-78.5248268875","44.6047330833333","lightcoral"
"8","-77.08350133","45.393930585","orangered3"
"9","-79.3679764422857","44.138199862","red4"
"10","-80.0771267261818","43.9994095887273","firebrick1"
"11","-75.512821814918","45.032319587377","brown1"
"12","-79.2504961666667","41.6377319701754","darkgoldenrod1"
"13","-85.9110113727941","35.9065582014706","darkseagreen"
"14","-73.0012628428571","44.4450498619048","darkgoldenrod4"
"15","-72.6936191454545","44.0359461757576","gold"
"16","-88.6261559259259","45.4715859259259","deepskyblue"
"17","-79.3791539928571","38.5823257428571","lightsalmon1"
"18","-72.5503429619048","42.9882235190476","khaki"
"19","-86.1150879196721","37.1969432459016","olivedrab4"
"20","-91.3333576619835","37.0544802884298","olivedrab3"
"21","-90.6663629566667","34.64848319","forestgreen"
"22","-88.8316948461539","42.8305764615385","lightblue3"
"23","-89.1115657222222","44.5454861666667","dodgerblue2"
"24","-78.5184912954545","38.3586704818182","orange3"
