"","Region","Mean Longitude","Mean Latitude","Distance to Range Edge (km)","Number of Individuals","MLG","Number of Alleles","Allelic Richness","Expected Heterozygosity"
"1","New Brunswick",-66.0649746336957,46.569220751087,95.8269211492848,92,91,130,7.51165540003437,0.799205474213451
"2","New Brunswick",-67.6986839090909,46.6681342909091,109.816456592912,24,24,112,8.51171683046041,0.838712284734486
"3","New Brunswick",-65.6398623214286,45.7310288482143,160.888047473514,20,20,90,7.36494341422044,0.780199767537229
"4","New Brunswick",-67.6512319607843,46.0501162745098,168.418610994889,110,109,138,8.06842529666783,0.834132651509402
"5","New Brunswick",-66.4238415678414,45.8714787837004,168.257589234406,112,112,151,8.49154181349018,0.826197230448869
"6","New Brunswick",-66.7397802674603,45.9914942103175,159.792522117728,102,102,146,8.32364985473024,0.838487188836031
"7","Ontario",-78.5248268875,44.6047330833333,284.583111633472,35,35,135,9.4062520082121,0.856641527474066
"8","Quebec",-77.08350133,45.393930585,179.547071757311,55,55,151,9.2243318794192,0.857013030520034
"9","Ontario",-79.3679764422857,44.138199862,358.925115567866,61,61,141,8.52987704115451,0.837211679883245
"10","Ontario",-80.0771267261818,43.9994095887273,372.951993786439,227,225,152,8.03221381609244,0.829375808059025
"11","Quebec",-75.512821814918,45.032319587377,257.242938427986,126,126,148,8.3421532705571,0.834088694436312
"12","United States",-79.2504961666667,41.6377319701754,517.251083387101,114,114,170,9.18970856480223,0.846417618144389
"13","United States",-85.9110113727941,35.9065582014706,450.780779368299,136,136,159,8.42471737146049,0.835141830605603
"14","United States",-73.0012628428571,44.4450498619048,316.231354715893,21,21,101,8.04616135901094,0.817895519115031
"15","United States",-72.6936191454545,44.0359461757576,273.456693784887,33,33,126,8.73521347490159,0.841348851035799
"16","United States",-88.6261559259259,45.4715859259259,186.077579845187,27,27,86,6.6951760184675,0.774292150217451
"17","United States",-79.3791539928571,38.5823257428571,353.111772538082,28,28,123,8.80126284644559,0.837923902836626
"18","United States",-72.5503429619048,42.9882235190476,236.843336592761,21,21,105,8.31008991650117,0.815418984289331
"19","United States",-86.1150879196721,37.1969432459016,573.30184020729,61,61,155,9.31005103471138,0.850880576964301
"20","United States",-91.3333576619835,37.0544802884298,327.62208362686,121,121,167,8.7574711802548,0.830181645898977
"21","United States",-90.6663629566667,34.64848319,278.050184985155,30,30,118,8.37316942897837,0.797924326367501
"22","United States",-88.8316948461539,42.8305764615385,454.114855677998,39,39,94,6.46567555404934,0.750639718496717
"23","United States",-89.1115657222222,44.5454861666667,291.019527065466,18,18,84,6.87967296103118,0.757864357864358
"24","United States",-78.5184912954545,38.3586704818182,274.006911897028,22,22,121,9.2307647125235,0.839111053161429
